entity_id,name,kind,followers_count,model_decision,review_basis,reason
1496,"ashton kutcher",person,14089223,review,manual_add_from_review,"Although Ashton Kutcher is primarily an entertainer and investor, his technology-company activities could have an indirect AI connection that is not established by this profile alone."
2883,"J.K. Rowling",person,13780277,remove,model_remove,"J.K. Rowling is an author and charity founder with no clear connection to frontier AI research, engineering, or infrastructure."
2212,"CZ 🔶 BNB",person,11814800,remove,model_remove,"CZ is primarily a cryptocurrency and Binance figure with no clear connection to frontier-AI research, infrastructure, or governance."
3012,"Trevor Noah",person,10901622,remove,model_remove,"Trevor Noah is an entertainment personality with no clear connection to frontier AI research, engineering, labs, or infrastructure."
3063,"Novak Djokovic",person,8633243,remove,model_remove,"Novak Djokovic is a professional tennis player and philanthropist with no clear connection to frontier AI intelligence."
2150,"Marques Brownlee",person,6129447,remove,model_remove,"Marques Brownlee is primarily a consumer-technology reviewer and is not clearly a substantive frontier-AI researcher, engineer, lab leader, or focused AI publication."
1564,"Michael Saylor",person,5114583,remove,model_remove,"Michael Saylor is primarily a Bitcoin and cryptocurrency executive, with no clear direct connection to frontier AI research, infrastructure, or governance."
1565,"Jason Fried",person,2975988,remove,model_remove,"Jason Fried is a general software entrepreneur associated with Basecamp, not a clearly relevant frontier-AI leader, researcher, engineer, or focused AI organization."
1566,"Bill Ackman",person,2571533,remove,model_remove,"Bill Ackman is a general investor with no clear primary connection to frontier-AI research, engineering, products, or infrastructure."
1303,"Tony Xu",person,2496382,remove,model_remove,"Tony Xu is primarily the CEO of DoorDash, a consumer delivery company, with no clear direct connection to frontier AI research, infrastructure, or governance."
2211,"Biz Stone",person,2441355,remove,model_remove,"Biz Stone is a general technology entrepreneur with no clear, direct connection to frontier AI research, infrastructure, or governance."
1567,"Everyday Astronaut",organization,2065251,remove,model_remove,"Everyday Astronaut is a spaceflight-focused media identity with no clear connection to frontier-AI labs, research, products, or infrastructure."
3080,"Andrew D. Huberman, Ph.D.",person,1832324,remove,model_remove,"This identity is a neuroscience and health educator whose public work has no clear frontier-AI focus."
2213,"Arun Maini",person,1710749,remove,model_remove,"Arun Maini is primarily a consumer-technology media personality, with no clear frontier-AI research, engineering, lab, or infrastructure role."
2202,Ev,person,1489105,remove,model_remove,"Ev Williams is a general technology entrepreneur without a clear, direct connection to frontier-AI research, labs, or infrastructure."
